Age ID,Age Name
1,<5 years
2,0-6 days
3,7-27 days
4,28-364 days
5,1-4 years
6,5-9 years
7,10-14 years
8,15-19 years
9,20-24 years
10,25-29 years
11,30-34 years
12,35-39 years
13,40-44 years
14,45-49 years
15,50-54 years
16,55-59 years
17,60-64 years
18,65-69 years
19,70-74 years
20,75-79 years
21,80+ years
22,All ages
23,5-14 years
24,15-49 years
25,50-69 years
26,70+ years
27,Age-standardized
28,<1 year
30,80-84 years
31,85-89 years
32,90-94 years
33,95-99 years
34,2-4 years
37,20+ years
39,0-14 years
41,50-74 years
42,<28 days
44,100-104 years
45,105-109 years
49,12-23 months
50,2
51,3
52,4
53,5
54,6
55,7
56,8
57,9
58,10
59,11
60,12
61,13
62,14
63,15
64,16
65,17
66,18
67,19
68,20
69,21
70,22
71,23
72,24
73,25
74,26
75,27
76,28
77,29
78,30
79,31
80,32
81,33
82,34
83,35
84,36
85,37
86,38
87,39
88,40
89,41
90,42
91,43
92,44
93,45
94,46
95,47
96,48
97,49
98,50
99,51
100,52
101,53
102,54
103,55
104,56
105,57
106,58
107,59
108,60
109,61
110,62
111,63
112,64
113,65
114,66
115,67
116,68
117,69
118,70
119,71
120,72
121,73
122,74
123,75
124,76
125,77
126,78
127,79
128,80
129,81
130,82
131,83
132,84
133,85
134,86
135,87
136,88
137,89
138,90
139,91
140,92
141,93
142,94
148,110+ years
157,25+ years
158,<20 years
159,10-24 years
160,85+ years
162,10-19 years
164,Birth
169,10 to 54 years
188,5-19 years
197,15-39 years
199,15-59 years
206,25-49 years
215,35-54 years
218,40-54 years
228,55+ years
232,65-74 years
234,75+ years
235,95+ years
238,12-23 months
243,75-84 years
284,20-54 years
388,1-5 months
389,6-11 months
420,<70 years
